100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,*,*,*,*,*,*,*,*,*,*,*,*,*,100
100,*,*,*,*,*,*,*,*,*,*,*,*,*,100
100,*,*,*,*,*,*,*,*,*,*,*,*,*,100
100,*,*,*,*,*,*,*,*,*,*,*,*,*,100
100,*,*,*,*,*,*,*,*,*,*,*,*,*,100
100,*,*,*,*,*,*,*,*,*,*,*,*,*,100
100,*,*,*,*,*,*,*,*,*,*,*,*,*,100
100,*,*,*,*,*,*,*,*,*,*,*,*,*,100
100,*,*,*,*,*,*,*,*,*,*,*,*,*,100
100,*,*,*,*,*,*,*,*,*,*,*,*,*,100
100,*,*,*,*,*,*,*,*,*,*,*,*,*,100
100,*,*,,*,*,*,*,*,*,*,*,*,*,100
100,*,*,*,*,*,*,*,*,*,*,*,*,*,100
100,*,102,102,102,*,*,*,*,*,*,*,*,*,100
100,*,*,*,*,*,*,*,*,*,*,*,*,*,100
100,*,*,*,*,*,105,*,*,*,*,*,*,*,100
100,105,*,*,*,*,*,*,*,*,102,*,*,*,100
101,*,*,*,*,*,*,*,*,*,102,*,*,*,100
100,101,101,101,101,101,101,101,101,101,101,101,101,101,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,,,,,,,,,,,,
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,2,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,2,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,99,*,*,*,2,*,*,*,*,2,20,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
